Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1500.00,0.30,0.35,0.25,0.35,0.30,0.35,562.00,4215.82,0.82,3020500.00,-16000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1520.00,0.25,0.35,0.25,0.30,0.30,0.30,80.00,608.13,0.13,760000.00,8500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1100.00,134.00,152.00,130.00,148.05,148.00,148.05,153.00,947.72,106.22,120000.00,7000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1110.00,-,-,-,120.15,120.15,138.30,-,-,-,500.00,-,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1300.00,5.50,8.80,5.40,7.95,7.70,7.95,15906.00,103948.67,559.67,10727500.00,543500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1310.00,4.65,6.75,4.10,6.20,6.00,6.20,3483.00,22906.71,93.06,970000.00,63500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1120.00,-,-,-,237.15,-,128.75,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1320.00,3.45,5.25,3.20,4.90,4.60,4.90,3778.00,25014.88,80.08,1640000.00,59500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1130.00,-,-,-,162.50,-,119.25,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1140.00,101.00,109.50,101.00,108.70,108.70,108.70,8.00,49.87,4.27,6000.00,-500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1330.00,2.65,4.05,2.55,3.75,3.60,3.75,2213.00,14752.39,35.94,999000.00,140500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1340.00,2.00,3.15,1.95,2.90,2.80,2.90,1664.00,11170.05,21.25,1221000.00,42000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1150.00,86.00,104.05,84.80,100.75,99.75,100.75,374.00,2328.96,178.46,283500.00,-88000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1160.00,78.70,94.00,76.10,91.55,91.00,91.55,130.00,809.23,55.23,110000.00,-,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1350.00,1.70,2.60,1.70,2.35,2.25,2.35,2653.00,17936.00,28.25,2841000.00,23500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1170.00,72.55,86.05,68.00,82.50,81.60,82.50,94.00,585.39,35.49,48500.00,500.00,1241.80
